"","coef.fit."
"(Intercept)",0.0938335849542543
"USA_p1",0.359096458916286
"USA_p2",0.0359171767774926
"USA_p3",0.446143037471488
"USA_p4",-0.699489996331352
"USA_p5",-0.284977555725761
"USA_p6",-0.139210289879637
"USA_p7",0.270139048581087
"USA_p8",0.297551117305692
"USA_p9",0.0195296809994791
"USA_p10",-0.115136353028168
"USA_p11",0.297852040307652
"USA_p12",0.237214376657581
"Japan_p1",0.146340389050395
"Japan_p2",-0.0274353675908307
"Japan_p3",-0.248864070571423
"Japan_p4",-0.261724277726364
"Japan_p5",-0.397861172360915
"Japan_p6",0.11796925511983
"Japan_p7",0.347969758224709
"Japan_p8",0.0866846762029682
"Japan_p9",0.160942261711406
"Japan_p10",0.0661863356832648
"Japan_p11",0.179077690077326
"Japan_p12",0.574365411900989
"Great.Britain_p1",0.111575437985992
"Great.Britain_p2",0.602748688913402
"Great.Britain_p3",0.18150684775043
"Great.Britain_p4",0.104576644589516
"Great.Britain_p5",-0.329421721380646
"Great.Britain_p6",0.21564025893257
"Great.Britain_p7",-0.100600085777953
"Great.Britain_p8",0.0249827357626119
"Great.Britain_p9",-0.0199195082977444
"Great.Britain_p10",-0.0456344626933418
"Great.Britain_p11",0.247915889458007
"Great.Britain_p12",-0.58455615482004
"Canada_p1",0.0316442700263296
"Canada_p2",0.073819421019753
"Canada_p3",-0.0160619930233381
"Canada_p4",-0.417307685080933
"Canada_p5",0.0551625105994807
"Canada_p6",-0.139519852478524
"Canada_p7",0.0877799289519134
"Canada_p8",0.120634337930745
"Canada_p9",0.363322271676453
"Canada_p10",-0.181057349248284
"Canada_p11",0.450677967670079
"Canada_p12",-0.383049345797244
"France_p1",0.0636505200217281
"France_p2",0.299290882990298
"France_p3",-0.0835788364243711
"France_p4",-0.119360839261807
"France_p5",0.153039066455746
"France_p6",-0.450177553734565
"France_p7",-0.487007819508058
"France_p8",-0.0976304827022236
"France_p9",0.263176931803791
"France_p10",0.686316874215175
"France_p11",0.527479151149205
"France_p12",-0.726918503326148
"Denmark_p1",-0.0274407003315469
"Denmark_p2",-0.173233936089776
"Denmark_p3",0.201990288793827
"Denmark_p4",-0.203181434894911
"Denmark_p5",0.117729081911538
"Denmark_p6",-0.0631084539720759
"Denmark_p7",-0.561216618687459
"Denmark_p8",0.821368280171109
"Denmark_p9",-0.0488958779073786
"Denmark_p10",0.465974016589784
"Denmark_p11",-0.215312158035553
"Denmark_p12",-0.127334698330659
"Sweden_p1",0.266367622683977
"Sweden_p2",-0.0276648869389261
"Sweden_p3",-0.0959235096769915
"Sweden_p4",0.273572616881564
"Sweden_p5",-0.66079483331365
"Sweden_p6",-0.39715981441762
"Sweden_p7",-0.205053071288143
"Sweden_p8",-0.114135503975177
"Sweden_p9",0.273863915623614
"Sweden_p10",-0.0184754944465443
"Sweden_p11",0.140367750012053
"Sweden_p12",-0.182615849337662
"Brazil_p1",0.56353009001632
"Brazil_p2",-0.927967712726121
"Brazil_p3",-0.516526260690483
"Brazil_p4",-0.669809466145131
"Brazil_p5",0.232071689726765
"Brazil_p6",-0.103703887027578
"Brazil_p7",0.0549740190426385
"Brazil_p8",0.604788857161003
"Brazil_p9",0.230974594799332
"Brazil_p10",-0.375301445380167
"Brazil_p11",0.43741330752889
"Brazil_p12",0.649431802727454
"Columbia_p1",-0.393759524673418
"Columbia_p2",0.231499597707124
"Columbia_p3",0.261178599873074
"Columbia_p4",-0.0417951617882417
"Columbia_p5",0.245512695722627
"Columbia_p6",-0.505667096870176
"Columbia_p7",-0.0206770213762909
"Columbia_p8",-0.0254756773104871
"Columbia_p9",0.221719151862425
"Columbia_p10",-0.49477936251532
"Columbia_p11",-0.285860363864308
"Columbia_p12",-0.339805368974959
"Poland_p1",0.29938525482119
"Poland_p2",-0.131788959835946
"Poland_p3",0.166300952775551
"Poland_p4",-0.0601534114700433
"Poland_p5",0.0280153576206335
"Poland_p6",-0.0729181083127997
"Poland_p7",-0.171177205921018
"Poland_p8",-0.257920644105568
"Poland_p9",0.209576078915835
"Poland_p10",-0.336004057491942
"Poland_p11",-0.138081514470896
"Poland_p12",0.0507500676508318
"Argentina_p1",-0.417577254942714
"Argentina_p2",-0.620046583602056
"Argentina_p3",-0.121752134882315
"Argentina_p4",0.411458473496376
"Argentina_p5",-1.06751585157977
"Argentina_p6",-0.214325833290989
"Argentina_p7",0.0511145417526444
"Argentina_p8",-0.333989948499645
"Argentina_p9",-0.199437175011503
"Argentina_p10",0.259266529834565
"Argentina_p11",-0.541623747812167
"Argentina_p12",-0.0845586009389014
"Chile_p1",-0.245207184683893
"Chile_p2",-0.0118109269584186
"Chile_p3",-0.153554039360255
"Chile_p4",0.158764755719912
"Chile_p5",0.0499868407799332
"Chile_p6",0.0661971228467999
"Chile_p7",-0.608722219740652
"Chile_p8",-0.203030943463736
"Chile_p9",-0.254278353852953
"Chile_p10",-0.741538692855744
"Chile_p11",-0.339828644073832
"Chile_p12",NA
